Geography,Date,Value
Manitoba,2/1/2009,"558,405A"
Saskatchewan,2/1/2009,"440,783A"
Alberta,2/1/2009,"1,785,517A"
British Columbia,2/1/2009,"1,916,477A"
Yukon,2/1/2009,"18,067A"
Northwest Territories,2/1/2009,"26,269A"
Nunavut,2/1/2009,"13,011A"
Canada,3/1/2009,"14,647,790A"
Newfoundland and Labrador,3/1/2009,"195,816A"
Prince Edward Island,3/1/2009,"61,913A"
Nova Scotia,3/1/2009,"398,380A"
New Brunswick,3/1/2009,"311,297A"
Quebec,3/1/2009,"3,368,937A"
Ontario,3/1/2009,"5,585,309A"
Manitoba,3/1/2009,"557,054A"
Saskatchewan,3/1/2009,"441,455A"
Alberta,3/1/2009,"1,763,462A"
British Columbia,3/1/2009,"1,906,979A"
Yukon,3/1/2009,"18,112A"
Northwest Territories,3/1/2009,"26,160A"
Nunavut,3/1/2009,"12,917A"
Canada,4/1/2009,"14,595,259A"
Newfoundland and Labrador,4/1/2009,"194,149A"
Prince Edward Island,4/1/2009,"62,150A"
Nova Scotia,4/1/2009,"399,342A"
New Brunswick,4/1/2009,"312,297A"
Quebec,4/1/2009,"3,355,725A"
Ontario,4/1/2009,"5,566,475A"
Manitoba,4/1/2009,"555,748A"
Saskatchewan,4/1/2009,"440,634A"
Alberta,4/1/2009,"1,754,621A"
British Columbia,4/1/2009,"1,896,884A"
Yukon,4/1/2009,"18,335A"
Northwest Territories,4/1/2009,"25,743A"
Nunavut,4/1/2009,"13,156A"
Canada,5/1/2009,"14,580,657A"
Newfoundland and Labrador,5/1/2009,"192,630A"
Prince Edward Island,5/1/2009,"62,561A"
Nova Scotia,5/1/2009,"399,463A"
New Brunswick,5/1/2009,"310,152A"
Quebec,5/1/2009,"3,353,728A"
Ontario,5/1/2009,"5,554,489A"
Manitoba,5/1/2009,"558,136A"
Saskatchewan,5/1/2009,"441,457A"
Alberta,5/1/2009,"1,755,941A"
British Columbia,5/1/2009,"1,895,247A"
Yukon,5/1/2009,"17,889A"
Northwest Territories,5/1/2009,"25,680A"
Nunavut,5/1/2009,"13,285A"
Canada,6/1/2009,"14,558,892A"
Newfoundland and Labrador,6/1/2009,"191,183A"
Prince Edward Island,6/1/2009,"62,979A"
Nova Scotia,6/1/2009,"400,101A"
New Brunswick,6/1/2009,"312,408A"
Quebec,6/1/2009,"3,361,627A"
Ontario,6/1/2009,"5,536,802A"
Manitoba,6/1/2009,"558,518A"
Saskatchewan,6/1/2009,"440,860A"
Alberta,6/1/2009,"1,744,592A"
British Columbia,6/1/2009,"1,892,931A"
Yukon,6/1/2009,"18,109A"
Northwest Territories,6/1/2009,"25,616A"
Nunavut,6/1/2009,"13,166A"
Canada,7/1/2009,"14,594,006A"
Newfoundland and Labrador,7/1/2009,"191,278A"
Prince Edward Island,7/1/2009,"62,731A"
Nova Scotia,7/1/2009,"398,251A"
New Brunswick,7/1/2009,"313,298A"
Quebec,7/1/2009,"3,375,651A"
Ontario,7/1/2009,"5,559,025A"
Manitoba,7/1/2009,"559,075A"
Saskatchewan,7/1/2009,"440,247A"
Alberta,7/1/2009,"1,745,902A"
British Columbia,7/1/2009,"1,891,411A"
Yukon,7/1/2009,"18,013A"
Northwest Territories,7/1/2009,"25,748A"
Nunavut,7/1/2009,"13,378A"
Canada,8/1/2009,"14,512,108A"
Newfoundland and Labrador,8/1/2009,"193,475A"
Prince Edward Island,8/1/2009,"63,788A"
Nova Scotia,8/1/2009,"399,560A"
New Brunswick,8/1/2009,"310,415A"
Quebec,8/1/2009,"3,357,652A"
Ontario,8/1/2009,"5,526,801A"
Manitoba,8/1/2009,"553,361A"
Saskatchewan,8/1/2009,"437,223A"
Alberta,8/1/2009,"1,726,632A"
British Columbia,8/1/2009,"1,886,862A"
Yukon,8/1/2009,"17,815A"
Northwest Territories,8/1/2009,"25,313A"
Nunavut,8/1/2009,"13,212A"
Canada,9/1/2009,"14,559,670A"
Newfoundland and Labrador,9/1/2009,"194,980A"
Prince Edward Island,9/1/2009,"63,474A"
Nova Scotia,9/1/2009,"399,807A"
New Brunswick,9/1/2009,"312,699A"
Quebec,9/1/2009,"3,364,265A"
Ontario,9/1/2009,"5,551,171A"
Manitoba,9/1/2009,"554,636A"
Saskatchewan,9/1/2009,"438,565A"
Alberta,9/1/2009,"1,732,893A"
British Columbia,9/1/2009,"1,889,910A"
Yukon,9/1/2009,"17,959A"
Northwest Territories,9/1/2009,"26,119A"
Nunavut,9/1/2009,"13,192A"
Canada,10/1/2009,"14,589,292A"
Newfoundland and Labrador,10/1/2009,"195,967A"
Prince Edward Island,10/1/2009,"63,493A"
Nova Scotia,10/1/2009,"400,842A"
New Brunswick,10/1/2009,"314,214A"
Quebec,10/1/2009,"3,374,283A"
Ontario,10/1/2009,"5,573,672A"
Manitoba,10/1/2009,"553,745A"
Saskatchewan,10/1/2009,"440,061A"
Alberta,10/1/2009,"1,730,367A"
British Columbia,10/1/2009,"1,884,973A"
Yukon,10/1/2009,"18,132A"
Northwest Territories,10/1/2009,"25,985A"
Nunavut,10/1/2009,"13,559A"
Canada,11/1/2009,"14,573,083A"
Newfoundland and Labrador,11/1/2009,"196,641A"
Prince Edward Island,11/1/2009,"63,394A"
Nova Scotia,11/1/2009,"400,152A"
New Brunswick,11/1/2009,"314,582A"
Quebec,11/1/2009,"3,371,434A"
Ontario,11/1/2009,"5,562,489A"
Manitoba,11/1/2009,"553,440A"
Saskatchewan,11/1/2009,"441,292A"
Alberta,11/1/2009,"1,729,376A"
British Columbia,11/1/2009,"1,883,112A"
Yukon,11/1/2009,"18,119A"
Northwest Territories,11/1/2009,"25,798A"
Nunavut,11/1/2009,"13,256A"
Canada,12/1/2009,"14,592,649A"
Newfoundland and Labrador,12/1/2009,"195,492A"
Prince Edward Island,12/1/2009,"63,688A"
Nova Scotia,12/1/2009,"401,093A"
New Brunswick,12/1/2009,"316,584A"
Quebec,12/1/2009,"3,371,399A"
Ontario,12/1/2009,"5,572,888A"
Manitoba,12/1/2009,"558,239A"
Saskatchewan,12/1/2009,"438,344A"
Alberta,12/1/2009,"1,728,977A"
British Columbia,12/1/2009,"1,887,878A"
Yukon,12/1/2009,"18,884A"
Northwest Territories,12/1/2009,"26,037A"
Nunavut,12/1/2009,"13,146A"
Canada,1/1/2010,"14,608,223A"
Newfoundland and Labrador,1/1/2010,"197,373A"
Prince Edward Island,1/1/2010,"63,007A"
Nova Scotia,1/1/2010,"402,536A"
New Brunswick,1/1/2010,"314,793A"
Quebec,1/1/2010,"3,372,277A"
Ontario,1/1/2010,"5,574,198A"
Manitoba,1/1/2010,"553,891A"
Saskatchewan,1/1/2010,"437,331A"
Alberta,1/1/2010,"1,745,245A"
British Columbia,1/1/2010,"1,889,277A"
Yukon,1/1/2010,"18,409A"
Northwest Territories,1/1/2010,"26,487A"
Nunavut,1/1/2010,"13,399A"
Canada,2/1/2010,"14,631,847A"
Newfoundland and Labrador,2/1/2010,"197,234A"
Prince Edward Island,2/1/2010,"63,120A"
Nova Scotia,2/1/2010,"403,536A"
New Brunswick,2/1/2010,"316,599A"
Quebec,2/1/2010,"3,369,294A"
Ontario,2/1/2010,"5,582,064A"
Manitoba,2/1/2010,"553,732A"
Saskatchewan,2/1/2010,"439,026A"
Alberta,2/1/2010,"1,745,695A"
British Columbia,2/1/2010,"1,903,087A"
Yukon,2/1/2010,"18,613A"
Northwest Territories,2/1/2010,"26,531A"
Nunavut,2/1/2010,"13,316A"
Canada,3/1/2010,"14,658,163A"
Newfoundland and Labrador,3/1/2010,"197,783A"
Prince Edward Island,3/1/2010,"63,585A"
Nova Scotia,3/1/2010,"404,546A"
New Brunswick,3/1/2010,"317,010A"
Quebec,3/1/2010,"3,382,692A"
Ontario,3/1/2010,"5,591,798A"
Manitoba,3/1/2010,"555,113A"
Saskatchewan,3/1/2010,"440,259A"
Alberta,3/1/2010,"1,750,668A"
British Columbia,3/1/2010,"1,896,264A"
Yukon,3/1/2010,"18,403A"
Northwest Territories,3/1/2010,"26,314A"
Nunavut,3/1/2010,"13,727A"
Canada,4/1/2010,"14,688,935A"
Newfoundland and Labrador,4/1/2010,"196,843A"
Prince Edward Island,4/1/2010,"63,691A"
Nova Scotia,4/1/2010,"402,645A"
New Brunswick,4/1/2010,"319,334A"
Quebec,4/1/2010,"3,393,370A"
Ontario,4/1/2010,"5,610,095A"
Manitoba,4/1/2010,"556,634A"
Saskatchewan,4/1/2010,"440,749A"
Alberta,4/1/2010,"1,756,695A"
British Columbia,4/1/2010,"1,890,813A"
Yukon,4/1/2010,"18,338A"
Northwest Territories,4/1/2010,"26,329A"
Nunavut,4/1/2010,"13,401A"
Canada,5/1/2010,"14,693,716A"
Newfoundland and Labrador,5/1/2010,"197,683A"
Prince Edward Island,5/1/2010,"64,548A"
Nova Scotia,5/1/2010,"403,187A"
New Brunswick,5/1/2010,"321,241A"
Quebec,5/1/2010,"3,396,727A"
Ontario,5/1/2010,"5,607,286A"
Manitoba,5/1/2010,"557,074A"
Saskatchewan,5/1/2010,"441,028A"
Alberta,5/1/2010,"1,756,994A"
British Columbia,5/1/2010,"1,888,855A"
Yukon,5/1/2010,"18,509A"
Northwest Territories,5/1/2010,"26,592A"
Nunavut,5/1/2010,"13,993A"
Canada,6/1/2010,"14,732,318A"
Newfoundland and Labrador,6/1/2010,"199,991A"
Prince Edward Island,6/1/2010,"64,356A"
Nova Scotia,6/1/2010,"404,442A"
New Brunswick,6/1/2010,"319,974A"
Quebec,6/1/2010,"3,402,823A"
Ontario,6/1/2010,"5,625,921A"
Manitoba,6/1/2010,"555,885A"
Saskatchewan,6/1/2010,"441,045A"
Alberta,6/1/2010,"1,765,453A"
British Columbia,6/1/2010,"1,892,921A"
Yukon,6/1/2010,"18,768A"
Northwest Territories,6/1/2010,"26,683A"
Nunavut,6/1/2010,"14,055A"
Canada,7/1/2010,"14,797,152A"
Newfoundland and Labrador,7/1/2010,"200,138A"
Prince Edward Island,7/1/2010,"65,530A"
Nova Scotia,7/1/2010,"406,554A"
New Brunswick,7/1/2010,"325,697A"
Quebec,7/1/2010,"3,409,423A"
Ontario,7/1/2010,"5,654,142A"
Manitoba,7/1/2010,"558,165A"
Saskatchewan,7/1/2010,"443,649A"
Alberta,7/1/2010,"1,771,820A"
British Columbia,7/1/2010,"1,902,627A"
Yukon,7/1/2010,"18,463A"
Northwest Territories,7/1/2010,"26,832A"
Nunavut,7/1/2010,"14,112A"
Canada,8/1/2010,"14,769,389A"
Newfoundland and Labrador,8/1/2010,"200,143A"
Prince Edward Island,8/1/2010,"64,944A"
Nova Scotia,8/1/2010,"406,175A"
New Brunswick,8/1/2010,"322,274A"
Quebec,8/1/2010,"3,411,455A"
Ontario,8/1/2010,"5,630,833A"
Manitoba,8/1/2010,"556,158A"
Saskatchewan,8/1/2010,"444,281A"
Alberta,8/1/2010,"1,771,824A"
British Columbia,8/1/2010,"1,902,129A"
Yukon,8/1/2010,"18,482A"
Northwest Territories,8/1/2010,"26,690A"
Nunavut,8/1/2010,"14,000A"
Canada,9/1/2010,"14,817,360A"
Newfoundland and Labrador,9/1/2010,"200,675A"
Prince Edward Island,9/1/2010,"64,645A"
Nova Scotia,9/1/2010,"409,727A"
New Brunswick,9/1/2010,"322,159A"
Quebec,9/1/2010,"3,412,836A"
Ontario,9/1/2010,"5,661,366A"
Manitoba,9/1/2010,"557,969A"
Saskatchewan,9/1/2010,"445,353A"
Alberta,9/1/2010,"1,779,005A"
British Columbia,9/1/2010,"1,903,264A"
Yukon,9/1/2010,"18,721A"
Northwest Territories,9/1/2010,"27,165A"
Nunavut,9/1/2010,"14,476A"
Canada,10/1/2010,"14,841,783A"
Newfoundland and Labrador,10/1/2010,"202,029A"
Prince Edward Island,10/1/2010,"64,166A"
Nova Scotia,10/1/2010,"408,832A"
New Brunswick,10/1/2010,"322,583A"
Quebec,10/1/2010,"3,412,084A"
Ontario,10/1/2010,"5,666,272A"
Manitoba,10/1/2010,"561,167A"
Saskatchewan,10/1/2010,"446,592A"
Alberta,10/1/2010,"1,788,384A"
British Columbia,10/1/2010,"1,909,048A"
Yukon,10/1/2010,"18,869A"
Northwest Territories,10/1/2010,"27,394A"
Nunavut,10/1/2010,"14,363A"
Canada,11/1/2010,"14,834,883A"
Newfoundland and Labrador,11/1/2010,"204,154A"
Prince Edward Island,11/1/2010,"64,157A"
Nova Scotia,11/1/2010,"408,659A"
New Brunswick,11/1/2010,"319,414A"
Quebec,11/1/2010,"3,409,441A"
Ontario,11/1/2010,"5,668,649A"
Manitoba,11/1/2010,"561,199A"
Saskatchewan,11/1/2010,"445,152A"
Alberta,11/1/2010,"1,785,299A"
British Columbia,11/1/2010,"1,908,251A"
Yukon,11/1/2010,"18,910A"
Northwest Territories,11/1/2010,"27,255A"
Nunavut,11/1/2010,"14,341A"
Canada,12/1/2010,"14,892,638A"
Newfoundland and Labrador,12/1/2010,"204,112A"
Prince Edward Island,12/1/2010,"64,594A"
Nova Scotia,12/1/2010,"410,856A"
New Brunswick,12/1/2010,"321,654A"
Quebec,12/1/2010,"3,421,206A"
Ontario,12/1/2010,"5,688,388A"
Manitoba,12/1/2010,"562,894A"
Saskatchewan,12/1/2010,"448,603A"
Alberta,12/1/2010,"1,797,232A"
British Columbia,12/1/2010,"1,912,266A"
Yukon,12/1/2010,"19,086A"
Northwest Territories,12/1/2010,"27,409A"
Nunavut,12/1/2010,"14,337A"
Canada,1/1/2011,"14,887,575A"
Newfoundland and Labrador,1/1/2011,"203,828A"
Prince Edward Island,1/1/2011,"64,405A"
Nova Scotia,1/1/2011,"409,684A"
New Brunswick,1/1/2011,"320,791A"
Quebec,1/1/2011,"3,418,691A"
Ontario,1/1/2011,"5,679,244A"
Manitoba,1/1/2011,"562,955A"
Saskatchewan,1/1/2011,"450,277A"
Alberta,1/1/2011,"1,796,277A"
British Columbia,1/1/2011,"1,920,776A"
Yukon,1/1/2011,"18,909A"
Northwest Territories,1/1/2011,"27,411A"
Nunavut,1/1/2011,"14,328A"
Canada,2/1/2011,"14,910,231A"
Newfoundland and Labrador,2/1/2011,"203,817A"
Prince Edward Island,2/1/2011,"64,267A"
Nova Scotia,2/1/2011,"407,359A"
New Brunswick,2/1/2011,"316,114A"
Quebec,2/1/2011,"3,421,437A"
Ontario,2/1/2011,"5,698,832A"
Manitoba,2/1/2011,"561,845A"
Saskatchewan,2/1/2011,"449,342A"
Alberta,2/1/2011,"1,805,055A"
British Columbia,2/1/2011,"1,921,231A"
Yukon,2/1/2011,"18,971A"
Northwest Territories,2/1/2011,"27,494A"
Nunavut,2/1/2011,"14,466A"
Canada,3/1/2011,"14,933,976A"
Newfoundland and Labrador,3/1/2011,"204,492A"
Prince Edward Island,3/1/2011,"64,291A"
Nova Scotia,3/1/2011,"412,768A"
New Brunswick,3/1/2011,"319,997A"
Quebec,3/1/2011,"3,423,646A"
Ontario,3/1/2011,"5,703,866A"
Manitoba,3/1/2011,"561,082A"
Saskatchewan,3/1/2011,"448,896A"
Alberta,3/1/2011,"1,811,314A"
British Columbia,3/1/2011,"1,922,885A"
Yukon,3/1/2011,"19,212A"
Northwest Territories,3/1/2011,"27,405A"
Nunavut,3/1/2011,"14,123A"
Canada,4/1/2011,"14,955,342A"
Newfoundland and Labrador,4/1/2011,"206,690A"
Prince Edward Island,4/1/2011,"64,932A"
Nova Scotia,4/1/2011,"407,097A"
New Brunswick,4/1/2011,"319,021A"
Quebec,4/1/2011,"3,425,974A"
Ontario,4/1/2011,"5,703,932A"
Manitoba,4/1/2011,"561,931A"
Saskatchewan,4/1/2011,"449,056A"
Alberta,4/1/2011,"1,821,966A"
British Columbia,4/1/2011,"1,933,270A"
Yukon,4/1/2011,"19,088A"
Northwest Territories,4/1/2011,"27,814A"
Nunavut,4/1/2011,"14,572A"
Canada,5/1/2011,"14,930,375A"
Newfoundland and Labrador,5/1/2011,"205,809A"
Prince Edward Island,5/1/2011,"64,882A"
Nova Scotia,5/1/2011,"405,910A"
New Brunswick,5/1/2011,"316,662A"
Quebec,5/1/2011,"3,423,803A"
Ontario,5/1/2011,"5,689,940A"
Manitoba,5/1/2011,"561,398A"
Saskatchewan,5/1/2011,"450,989A"
Alberta,5/1/2011,"1,820,844A"
British Columbia,5/1/2011,"1,928,677A"
Yukon,5/1/2011,"19,307A"
Northwest Territories,5/1/2011,"27,771A"
Nunavut,5/1/2011,"14,383A"
Canada,6/1/2011,"15,008,856A"
Newfoundland and Labrador,6/1/2011,"204,222A"
Prince Edward Island,6/1/2011,"65,246A"
Nova Scotia,6/1/2011,"406,934A"
New Brunswick,6/1/2011,"318,292A"
Quebec,6/1/2011,"3,440,320A"
Ontario,6/1/2011,"5,722,318A"
Manitoba,6/1/2011,"565,076A"
Saskatchewan,6/1/2011,"453,101A"
Alberta,6/1/2011,"1,836,689A"
British Columbia,6/1/2011,"1,934,710A"
Yukon,6/1/2011,"19,353A"
Northwest Territories,6/1/2011,"27,986A"
Nunavut,6/1/2011,"14,609A"
Canada,7/1/2011,"15,019,741A"
Newfoundland and Labrador,7/1/2011,"205,584A"
Prince Edward Island,7/1/2011,"64,727A"
Nova Scotia,7/1/2011,"409,657A"
New Brunswick,7/1/2011,"317,642A"
Quebec,7/1/2011,"3,439,972A"
Ontario,7/1/2011,"5,725,451A"
Manitoba,7/1/2011,"564,692A"
Saskatchewan,7/1/2011,"451,920A"
Alberta,7/1/2011,"1,844,747A"
British Columbia,7/1/2011,"1,933,757A"
Yukon,7/1/2011,"19,481A"
Northwest Territories,7/1/2011,"27,728A"
Nunavut,7/1/2011,"14,383A"
Canada,8/1/2011,"15,022,478A"
Newfoundland and Labrador,8/1/2011,"205,487A"
Prince Edward Island,8/1/2011,"64,025A"
Nova Scotia,8/1/2011,"407,359A"
New Brunswick,8/1/2011,"316,288A"
Quebec,8/1/2011,"3,435,302A"
Ontario,8/1/2011,"5,730,469A"
Manitoba,8/1/2011,"563,656A"
Saskatchewan,8/1/2011,"455,558A"
Alberta,8/1/2011,"1,847,238A"
British Columbia,8/1/2011,"1,935,605A"
Yukon,8/1/2011,"19,350A"
Northwest Territories,8/1/2011,"27,682A"
Nunavut,8/1/2011,"14,459A"
Canada,9/1/2011,"15,073,655A"
Newfoundland and Labrador,9/1/2011,"206,709A"
Prince Edward Island,9/1/2011,"64,756A"
Nova Scotia,9/1/2011,"405,283A"
New Brunswick,9/1/2011,"319,223A"
Quebec,9/1/2011,"3,447,893A"
Ontario,9/1/2011,"5,748,408A"
Manitoba,9/1/2011,"564,961A"
Saskatchewan,9/1/2011,"459,393A"
Alberta,9/1/2011,"1,857,284A"
British Columbia,9/1/2011,"1,938,350A"
Yukon,9/1/2011,"19,480A"
Northwest Territories,9/1/2011,"27,613A"
Nunavut,9/1/2011,"14,302A"
Canada,10/1/2011,"15,067,537A"
Newfoundland and Labrador,10/1/2011,"207,853A"
Prince Edward Island,10/1/2011,"63,972A"
Nova Scotia,10/1/2011,"404,511A"
New Brunswick,10/1/2011,"316,806A"
Quebec,10/1/2011,"3,451,688A"
Ontario,10/1/2011,"5,736,431A"
Manitoba,10/1/2011,"565,299A"
Saskatchewan,10/1/2011,"459,841A"
Alberta,10/1/2011,"1,861,522A"
British Columbia,10/1/2011,"1,938,709A"
Yukon,10/1/2011,"19,246A"
Northwest Territories,10/1/2011,"27,330A"
Nunavut,10/1/2011,"14,328A"
Canada,11/1/2011,"15,098,636A"
Newfoundland and Labrador,11/1/2011,"206,833A"
Prince Edward Island,11/1/2011,"64,079A"
Nova Scotia,11/1/2011,"404,820A"
New Brunswick,11/1/2011,"316,737A"
Quebec,11/1/2011,"3,460,422A"
Ontario,11/1/2011,"5,742,758A"
Manitoba,11/1/2011,"568,554A"
Saskatchewan,11/1/2011,"462,715A"
Alberta,11/1/2011,"1,870,769A"
British Columbia,11/1/2011,"1,939,474A"
Yukon,11/1/2011,"19,623A"
Northwest Territories,11/1/2011,"27,327A"
Nunavut,11/1/2011,"14,527A"
Canada,12/1/2011,"15,101,123A"
Newfoundland and Labrador,12/1/2011,"207,847A"
Prince Edward Island,12/1/2011,"63,963A"
Nova Scotia,12/1/2011,"404,651A"
New Brunswick,12/1/2011,"316,972A"
Quebec,12/1/2011,"3,452,768A"
Ontario,12/1/2011,"5,740,438A"
Manitoba,12/1/2011,"569,785A"
Saskatchewan,12/1/2011,"462,712A"
Alberta,12/1/2011,"1,881,022A"
British Columbia,12/1/2011,"1,939,682A"
Yukon,12/1/2011,"19,394A"
Northwest Territories,12/1/2011,"27,146A"
Nunavut,12/1/2011,"14,743A"
Canada,1/1/2012,"15,099,457A"
Newfoundland and Labrador,1/1/2012,"208,542A"
Prince Edward Island,1/1/2012,"63,420A"
Nova Scotia,1/1/2012,"404,020A"
New Brunswick,1/1/2012,"314,675A"
Quebec,1/1/2012,"3,445,566A"
Ontario,1/1/2012,"5,745,890A"
Manitoba,1/1/2012,"568,456A"
Saskatchewan,1/1/2012,"461,677A"
Alberta,1/1/2012,"1,884,494A"
British Columbia,1/1/2012,"1,941,349A"
Yukon,1/1/2012,"19,652A"
Northwest Territories,1/1/2012,"27,047A"
Nunavut,1/1/2012,"14,670A"
Canada,2/1/2012,"15,094,112A"
Newfoundland and Labrador,2/1/2012,"208,607A"
Prince Edward Island,2/1/2012,"63,973A"
Nova Scotia,2/1/2012,"403,066A"
New Brunswick,2/1/2012,"315,142A"
Quebec,2/1/2012,"3,449,227A"
Ontario,2/1/2012,"5,740,888A"
Manitoba,2/1/2012,"570,144A"
Saskatchewan,2/1/2012,"462,416A"
Alberta,2/1/2012,"1,888,586A"
British Columbia,2/1/2012,"1,931,440A"
Yukon,2/1/2012,"19,510A"
Northwest Territories,2/1/2012,"26,645A"
Nunavut,2/1/2012,"14,468A"
Canada,3/1/2012,"15,136,587A"
Newfoundland and Labrador,3/1/2012,"208,920A"
Prince Edward Island,3/1/2012,"63,898A"
Nova Scotia,3/1/2012,"402,126A"
New Brunswick,3/1/2012,"314,124A"
Quebec,3/1/2012,"3,452,734A"
Ontario,3/1/2012,"5,763,383A"
Manitoba,3/1/2012,"571,665A"
Saskatchewan,3/1/2012,"463,604A"
Alberta,3/1/2012,"1,900,423A"
British Columbia,3/1/2012,"1,934,433A"
Yukon,3/1/2012,"19,580A"
Northwest Territories,3/1/2012,"26,966A"
Nunavut,3/1/2012,"14,731A"
Canada,4/1/2012,"15,191,630A"
Newfoundland and Labrador,4/1/2012,"210,978A"
Prince Edward Island,4/1/2012,"64,418A"
Nova Scotia,4/1/2012,"404,513A"
New Brunswick,4/1/2012,"314,002A"
Quebec,4/1/2012,"3,464,139A"
Ontario,4/1/2012,"5,781,959A"
Manitoba,4/1/2012,"572,838A"
Saskatchewan,4/1/2012,"467,613A"
Alberta,4/1/2012,"1,908,683A"
British Columbia,4/1/2012,"1,940,957A"
Yukon,4/1/2012,"19,764A"
Northwest Territories,4/1/2012,"27,197A"
Nunavut,4/1/2012,"14,568A"
Canada,5/1/2012,"15,262,709A"
Newfoundland and Labrador,5/1/2012,"210,652A"
Prince Edward Island,5/1/2012,"64,603A"
Nova Scotia,5/1/2012,"404,069A"
New Brunswick,5/1/2012,"315,297A"
Quebec,5/1/2012,"3,477,373A"
Ontario,5/1/2012,"5,805,279A"
Manitoba,5/1/2012,"572,860A"
Saskatchewan,5/1/2012,"469,128A"
Alberta,5/1/2012,"1,929,305A"
British Columbia,5/1/2012,"1,952,144A"
Yukon,5/1/2012,"20,148A"
Northwest Territories,5/1/2012,"27,840A"
Nunavut,5/1/2012,"14,011A"
Canada,6/1/2012,"15,296,001A"
Newfoundland and Labrador,6/1/2012,"211,626A"
Prince Edward Island,6/1/2012,"64,844A"
Nova Scotia,6/1/2012,"403,594A"
New Brunswick,6/1/2012,"314,518A"
Quebec,6/1/2012,"3,482,152A"
Ontario,6/1/2012,"5,812,406A"
Manitoba,6/1/2012,"577,046A"
Saskatchewan,6/1/2012,"472,146A"
Alberta,6/1/2012,"1,937,958A"
British Columbia,6/1/2012,"1,957,667A"
Yukon,6/1/2012,"20,326A"
Northwest Territories,6/1/2012,"27,904A"
Nunavut,6/1/2012,"13,815A"
Canada,7/1/2012,"15,304,957A"
Newfoundland and Labrador,7/1/2012,"211,323A"
Prince Edward Island,7/1/2012,"64,020A"
Nova Scotia,7/1/2012,"402,187A"
New Brunswick,7/1/2012,"312,772A"
Quebec,7/1/2012,"3,494,914A"
Ontario,7/1/2012,"5,802,542A"
Manitoba,7/1/2012,"574,844A"
Saskatchewan,7/1/2012,"473,293A"
Alberta,7/1/2012,"1,939,997A"
British Columbia,7/1/2012,"1,966,389A"
Yukon,7/1/2012,"20,451A"
Northwest Territories,7/1/2012,"28,012A"
Nunavut,7/1/2012,"14,213A"
Canada,8/1/2012,"15,333,432A"
Newfoundland and Labrador,8/1/2012,"210,904A"
Prince Edward Island,8/1/2012,"63,733A"
Nova Scotia,8/1/2012,"403,819A"
New Brunswick,8/1/2012,"313,617A"
Quebec,8/1/2012,"3,491,496A"
Ontario,8/1/2012,"5,823,762A"
Manitoba,8/1/2012,"577,991A"
Saskatchewan,8/1/2012,"471,821A"
Alberta,8/1/2012,"1,949,304A"
British Columbia,8/1/2012,"1,964,075A"
Yukon,8/1/2012,"20,367A"
Northwest Territories,8/1/2012,"28,013A"
Nunavut,8/1/2012,"14,530A"
Canada,9/1/2012,"15,330,905A"
Newfoundland and Labrador,9/1/2012,"212,128A"
Prince Edward Island,9/1/2012,"62,999A"
Nova Scotia,9/1/2012,"403,525A"
New Brunswick,9/1/2012,"310,717A"
Quebec,9/1/2012,"3,497,427A"
Ontario,9/1/2012,"5,811,016A"
Manitoba,9/1/2012,"575,731A"
Saskatchewan,9/1/2012,"472,548A"
Alberta,9/1/2012,"1,950,025A"
British Columbia,9/1/2012,"1,972,312A"
Yukon,9/1/2012,"20,220A"
Northwest Territories,9/1/2012,"27,667A"
Nunavut,9/1/2012,"14,590A"
Canada,10/1/2012,"15,309,337A"
Newfoundland and Labrador,10/1/2012,"211,442A"
Prince Edward Island,10/1/2012,"63,017A"
Nova Scotia,10/1/2012,"402,349A"
New Brunswick,10/1/2012,"310,085A"
Quebec,10/1/2012,"3,499,295A"
Ontario,10/1/2012,"5,796,955A"
Manitoba,10/1/2012,"575,264A"
Saskatchewan,10/1/2012,"473,824A"
Alberta,10/1/2012,"1,947,527A"
British Columbia,10/1/2012,"1,966,973A"
Yukon,10/1/2012,"20,132A"
Northwest Territories,10/1/2012,"27,905A"
Nunavut,10/1/2012,"14,570A"
Canada,11/1/2012,"15,346,111A"
Newfoundland and Labrador,11/1/2012,"212,079A"
Prince Edward Island,11/1/2012,"63,302A"
Nova Scotia,11/1/2012,"402,239A"
New Brunswick,11/1/2012,"311,256A"
Quebec,11/1/2012,"3,497,211A"
Ontario,11/1/2012,"5,820,124A"
Manitoba,11/1/2012,"579,129A"
Saskatchewan,11/1/2012,"473,567A"
Alberta,11/1/2012,"1,956,736A"
British Columbia,11/1/2012,"1,967,697A"
Yukon,11/1/2012,"20,041A"
Northwest Territories,11/1/2012,"27,859A"
Nunavut,11/1/2012,"14,869A"
Canada,12/1/2012,"15,318,299A"
Newfoundland and Labrador,12/1/2012,"213,295A"
Prince Edward Island,12/1/2012,"63,069A"
Nova Scotia,12/1/2012,"401,567A"
New Brunswick,12/1/2012,"309,796A"
Quebec,12/1/2012,"3,493,961A"
Ontario,12/1/2012,"5,807,742A"
Manitoba,12/1/2012,"575,718A"
Saskatchewan,12/1/2012,"472,843A"
Alberta,12/1/2012,"1,950,870A"
British Columbia,12/1/2012,"1,966,745A"
Yukon,12/1/2012,"19,863A"
Northwest Territories,12/1/2012,"28,122A"
Nunavut,12/1/2012,"14,710A"
Canada,1/1/2013,"15,332,047A"
