Geography,Date,Value
Nova Scotia,2/1/2002,"369,105"
New Brunswick,2/1/2002,"293,380"
Quebec,2/1/2002,"3,065,441"
Ontario,2/1/2002,"5,093,576"
Manitoba,2/1/2002,"503,097"
Saskatchewan,2/1/2002,"376,604"
Alberta,2/1/2002,"1,439,816"
British Columbia,2/1/2002,"1,620,539"
Yukon,2/1/2002,"15,362"
Northwest Territories,2/1/2002,"23,122"
Nunavut,2/1/2002,"12,586"
Canada,3/1/2002,"13,054,877"
Newfoundland and Labrador,3/1/2002,"184,830"
Prince Edward Island,3/1/2002,"56,469"
Nova Scotia,3/1/2002,"365,677"
New Brunswick,3/1/2002,"292,648"
Quebec,3/1/2002,"3,078,597"
Ontario,3/1/2002,"5,089,736"
Manitoba,3/1/2002,"507,489"
Saskatchewan,3/1/2002,"375,673"
Alberta,3/1/2002,"1,436,957"
British Columbia,3/1/2002,"1,615,691"
Yukon,3/1/2002,"15,213"
Northwest Territories,3/1/2002,"23,563"
Nunavut,3/1/2002,"12,332"
Canada,4/1/2002,"13,074,907"
Newfoundland and Labrador,4/1/2002,"186,029"
Prince Edward Island,4/1/2002,"56,995"
Nova Scotia,4/1/2002,"366,141"
New Brunswick,4/1/2002,"294,942"
Quebec,4/1/2002,"3,090,752"
Ontario,4/1/2002,"5,097,320"
Manitoba,4/1/2002,"503,393"
Saskatchewan,4/1/2002,"373,877"
Alberta,4/1/2002,"1,439,147"
British Columbia,4/1/2002,"1,616,054"
Yukon,4/1/2002,"15,017"
Northwest Territories,4/1/2002,"23,144"
Nunavut,4/1/2002,"12,095"
Canada,5/1/2002,"13,111,536"
Newfoundland and Labrador,5/1/2002,"179,731"
Prince Edward Island,5/1/2002,"57,249"
Nova Scotia,5/1/2002,"367,611"
New Brunswick,5/1/2002,"295,159"
Quebec,5/1/2002,"3,097,426"
Ontario,5/1/2002,"5,128,638"
Manitoba,5/1/2002,"505,699"
Saskatchewan,5/1/2002,"374,277"
Alberta,5/1/2002,"1,441,072"
British Columbia,5/1/2002,"1,614,696"
Yukon,5/1/2002,"14,800"
Northwest Territories,5/1/2002,"23,020"
Nunavut,5/1/2002,"12,156"
Canada,6/1/2002,"13,142,646"
Newfoundland and Labrador,6/1/2002,"181,272"
Prince Edward Island,6/1/2002,"55,863"
Nova Scotia,6/1/2002,"369,920"
New Brunswick,6/1/2002,"295,995"
Quebec,6/1/2002,"3,112,537"
Ontario,6/1/2002,"5,138,201"
Manitoba,6/1/2002,"506,477"
Saskatchewan,6/1/2002,"375,273"
Alberta,6/1/2002,"1,446,876"
British Columbia,6/1/2002,"1,610,353"
Yukon,6/1/2002,"14,705"
Northwest Territories,6/1/2002,"23,163"
Nunavut,6/1/2002,"12,011"
Canada,7/1/2002,"13,185,912"
Newfoundland and Labrador,7/1/2002,"182,078"
Prince Edward Island,7/1/2002,"56,587"
Nova Scotia,7/1/2002,"372,104"
New Brunswick,7/1/2002,"297,848"
Quebec,7/1/2002,"3,115,468"
Ontario,7/1/2002,"5,161,467"
Manitoba,7/1/2002,"503,530"
Saskatchewan,7/1/2002,"374,575"
Alberta,7/1/2002,"1,450,568"
British Columbia,7/1/2002,"1,620,967"
Yukon,7/1/2002,"15,087"
Northwest Territories,7/1/2002,"23,729"
Nunavut,7/1/2002,"11,904"
Canada,8/1/2002,"13,290,506"
Newfoundland and Labrador,8/1/2002,"182,498"
Prince Edward Island,8/1/2002,"57,307"
Nova Scotia,8/1/2002,"379,323"
New Brunswick,8/1/2002,"301,397"
Quebec,8/1/2002,"3,141,400"
Ontario,8/1/2002,"5,200,815"
Manitoba,8/1/2002,"507,875"
Saskatchewan,8/1/2002,"378,573"
Alberta,8/1/2002,"1,463,453"
British Columbia,8/1/2002,"1,626,476"
Yukon,8/1/2002,"15,121"
Northwest Territories,8/1/2002,"23,858"
Nunavut,8/1/2002,"12,410"
Canada,9/1/2002,"13,262,162"
Newfoundland and Labrador,9/1/2002,"180,928"
Prince Edward Island,9/1/2002,"57,458"
Nova Scotia,9/1/2002,"376,820"
New Brunswick,9/1/2002,"300,236"
Quebec,9/1/2002,"3,135,449"
Ontario,9/1/2002,"5,184,821"
Manitoba,9/1/2002,"506,218"
Saskatchewan,9/1/2002,"376,073"
Alberta,9/1/2002,"1,462,343"
British Columbia,9/1/2002,"1,631,367"
Yukon,9/1/2002,"14,872"
Northwest Territories,9/1/2002,"23,444"
Nunavut,9/1/2002,"12,134"
Canada,10/1/2002,"13,259,602"
Newfoundland and Labrador,10/1/2002,"181,848"
Prince Edward Island,10/1/2002,"57,940"
Nova Scotia,10/1/2002,"378,493"
New Brunswick,10/1/2002,"297,188"
Quebec,10/1/2002,"3,139,594"
Ontario,10/1/2002,"5,170,720"
Manitoba,10/1/2002,"507,837"
Saskatchewan,10/1/2002,"375,904"
Alberta,10/1/2002,"1,464,664"
British Columbia,10/1/2002,"1,634,970"
Yukon,10/1/2002,"14,971"
Northwest Territories,10/1/2002,"23,245"
Nunavut,10/1/2002,"12,228"
Canada,11/1/2002,"13,295,836"
Newfoundland and Labrador,11/1/2002,"181,927"
Prince Edward Island,11/1/2002,"58,182"
Nova Scotia,11/1/2002,"378,607"
New Brunswick,11/1/2002,"300,051"
Quebec,11/1/2002,"3,151,367"
Ontario,11/1/2002,"5,189,679"
